Trader,type
Trader_285,MIX
Trader_114,NON HFT
Trader_110,NON HFT
Trader_57,NON HFT
Trader_128,NON HFT
Trader_328,HFT
Trader_59,NON HFT
Trader_435,NON HFT
Trader_293,NON HFT
Trader_245,MIX
Trader_280,NON HFT
Trader_158,NON HFT
Trader_60,NON HFT
Trader_179,NON HFT
Trader_208,NON HFT
Trader_222,NON HFT
Trader_237,NON HFT
Trader_256,NON HFT
Trader_184,NON HFT
Trader_398,NON HFT
Trader_425,NON HFT
Trader_26,MIX
Trader_424,NON HFT
Trader_205,MIX
Trader_395,MIX
Trader_358,MIX
Trader_169,NON HFT
Trader_54,NON HFT
Trader_164,MIX
Trader_46,NON HFT
Trader_386,HFT
Trader_177,NON HFT
Trader_430,MIX
Trader_16,NON HFT
Trader_221,NON HFT
Trader_279,NON HFT
Trader_127,NON HFT
Trader_442,NON HFT
Trader_446,NON HFT
Trader_120,HFT
Trader_38,MIX
Trader_255,NON HFT
Trader_41,NON HFT
Trader_10,NON HFT
Trader_178,NON HFT
Trader_257,NON HFT
Trader_132,HFT
Trader_136,HFT
Trader_453,HFT
Trader_340,NON HFT
Trader_338,MIX
Trader_233,MIX
Trader_431,MIX
Trader_329,MIX
Trader_191,NON HFT
Trader_310,MIX
Trader_105,NON HFT
Trader_275,NON HFT
Trader_312,NON HFT
Trader_172,MIX
Trader_375,NON HFT
Trader_226,HFT
Trader_155,NON HFT
Trader_40,HFT
Trader_241,MIX
Trader_380,NON HFT
Trader_161,HFT
Trader_385,HFT
Trader_149,NON HFT
Trader_264,MIX
Trader_422,HFT
Trader_288,NON HFT
Trader_51,NON HFT
Trader_107,MIX
Trader_195,NON HFT
Trader_341,HFT
Trader_150,NON HFT
Trader_244,HFT
Trader_209,MIX
Trader_35,HFT
Trader_461,MIX
Trader_140,MIX
Trader_451,MIX
Trader_438,MIX
Trader_278,HFT
Trader_330,MIX
